[2025-12-03 16:51:36] Iniciando proceso de extracción de grupos y miembros...
[2025-12-03 16:51:36] Generando listado de grupos...
[2025-12-03 16:51:38] Se encontraron     1000 grupos
[2025-12-03 17:01:59] Procesando grupo 496/    1000: irtfemsayudn@spin.co
[2025-12-03 17:02:00] Grupo irtfemsayudn@spin.co:        3 usuarios encontrados
[2025-12-03 17:02:00] Procesando grupo 497/    1000: inventariodeinfraestructuraspei@spin.co
[2025-12-03 17:02:01] Grupo inventariodeinfraestructuraspei@spin.co:        3 usuarios encontrados
[2025-12-03 17:02:01] Procesando grupo 498/    1000: irtdigitalfemsa@spin.co
[2025-12-03 17:02:02] Grupo irtdigitalfemsa@spin.co:       17 usuarios encontrados
[2025-12-03 17:02:02] Procesando grupo 499/    1000: inteligenciadenegociosyenlaceecosistema@spin.co
[2025-12-03 17:02:04] Grupo inteligenciadenegociosyenlaceecosistema@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:04] Procesando grupo 500/    1000: integracioneslending@spin.co
[2025-12-03 17:02:06] Grupo integracioneslending@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:06] Procesando grupo 501/    1000: integracionesdevs@spin.co
[2025-12-03 17:02:07] Grupo integracionesdevs@spin.co:        6 usuarios encontrados
[2025-12-03 17:02:07] Procesando grupo 502/    1000: integraciones1@spin.co
[2025-12-03 17:02:08] Grupo integraciones1@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:08] Procesando grupo 503/    1000: integracinvolarisspinpremia@spin.co
[2025-12-03 17:02:09] Grupo integracinvolarisspinpremia@spin.co:       15 usuarios encontrados
[2025-12-03 17:02:09] Procesando grupo 504/    1000: integracion@spin.co
[2025-12-03 17:02:10] Grupo integracion@spin.co:       11 usuarios encontrados
[2025-12-03 17:02:10] Procesando grupo 505/    1000: integracinspinfood@spin.co
[2025-12-03 17:02:11] Grupo integracinspinfood@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:11] Procesando grupo 506/    1000: integracindealiados@spin.co
[2025-12-03 17:02:13] Grupo integracindealiados@spin.co:       28 usuarios encontrados
[2025-12-03 17:02:13] Procesando grupo 507/    1000: integracinaliados@spin.co
[2025-12-03 17:02:14] Grupo integracinaliados@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:14] Procesando grupo 508/    1000: integracinnetpayconekta@spin.co
[2025-12-03 17:02:15] Grupo integracinnetpayconekta@spin.co: Vacío
[2025-12-03 17:02:15] Procesando grupo 509/    1000: institutionaldevteam@spin.co
[2025-12-03 17:02:16] Grupo institutionaldevteam@spin.co:       23 usuarios encontrados
[2025-12-03 17:02:16] Procesando grupo 510/    1000: institucional@spin.co
[2025-12-03 17:02:17] Grupo institucional@spin.co:       18 usuarios encontrados
[2025-12-03 17:02:17] Procesando grupo 511/    1000: informacingalera@spin.co
[2025-12-03 17:02:18] Grupo informacingalera@spin.co:        4 usuarios encontrados
[2025-12-03 17:02:18] Procesando grupo 512/    1000: informativasrepsedigital@spin.co
[2025-12-03 17:02:20] Grupo informativasrepsedigital@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:20] Procesando grupo 513/    1000: informacincc@spin.co
[2025-12-03 17:02:21] Grupo informacincc@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:21] Procesando grupo 514/    1000: informacincompartidaacumulacinpuntosspin@spin.co
[2025-12-03 17:02:22] Grupo informacincompartidaacumulacinpuntosspin@spin.co: Vacío
[2025-12-03 17:02:22] Procesando grupo 515/    1000: indicadores-intervalo@spin.co
[2025-12-03 17:02:23] Grupo indicadores-intervalo@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:23] Procesando grupo 516/    1000: indicadoresoxxoadomicilio@spin.co
[2025-12-03 17:02:24] Grupo indicadoresoxxoadomicilio@spin.co:       12 usuarios encontrados
[2025-12-03 17:02:24] Procesando grupo 517/    1000: infinitegrowth@spin.co
[2025-12-03 17:02:26] Grupo infinitegrowth@spin.co:        6 usuarios encontrados
[2025-12-03 17:02:26] Procesando grupo 518/    1000: impeva@spin.co
[2025-12-03 17:02:27] Grupo impeva@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:27] Procesando grupo 519/    1000: incidentmanager@spin.co
[2025-12-03 17:02:28] Grupo incidentmanager@spin.co:        4 usuarios encontrados
[2025-12-03 17:02:28] Procesando grupo 520/    1000: iamciberseguridad@spin.co
[2025-12-03 17:02:29] Grupo iamciberseguridad@spin.co:        9 usuarios encontrados
[2025-12-03 17:02:29] Procesando grupo 521/    1000: imperva@spin.co
[2025-12-03 17:02:30] Grupo imperva@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:30] Procesando grupo 522/    1000: ideasvaluestream--bu@spin.co
[2025-12-03 17:02:31] Grupo ideasvaluestream--bu@spin.co:        3 usuarios encontrados
[2025-12-03 17:02:31] Procesando grupo 523/    1000: hubmty@spin.co
[2025-12-03 17:02:32] Grupo hubmty@spin.co:        7 usuarios encontrados
[2025-12-03 17:02:32] Procesando grupo 524/    1000: hubcdmx@spin.co
[2025-12-03 17:02:33] Grupo hubcdmx@spin.co:        5 usuarios encontrados
[2025-12-03 17:02:33] Procesando grupo 525/    1000: hrteamb2c@spin.co
[2025-12-03 17:02:35] Grupo hrteamb2c@spin.co:        4 usuarios encontrados
[2025-12-03 17:02:35] Procesando grupo 526/    1000: hrbpsgettogether@spin.co
[2025-12-03 17:02:36] Grupo hrbpsgettogether@spin.co:       10 usuarios encontrados
[2025-12-03 17:02:36] Procesando grupo 527/    1000: hrb2c@spin.co
[2025-12-03 17:02:37] Grupo hrb2c@spin.co:        4 usuarios encontrados
[2025-12-03 17:02:37] Procesando grupo 528/    1000: homepremia@spin.co
[2025-12-03 17:02:38] Grupo homepremia@spin.co:       14 usuarios encontrados
[2025-12-03 17:02:38] Procesando grupo 529/    1000: hr371@spin.co
[2025-12-03 17:02:39] Grupo hr371@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:39] Procesando grupo 530/    1000: home@spin.co
[2025-12-03 17:02:40] Grupo home@spin.co:       10 usuarios encontrados
[2025-12-03 17:02:40] Procesando grupo 531/    1000: hardeningservidores@spin.co
[2025-12-03 17:02:42] Grupo hardeningservidores@spin.co:        4 usuarios encontrados
[2025-12-03 17:02:42] Procesando grupo 532/    1000: growthdigitalchannel@spin.co
[2025-12-03 17:02:43] Grupo growthdigitalchannel@spin.co:        5 usuarios encontrados
[2025-12-03 17:02:43] Procesando grupo 533/    1000: grupo_test_gws_m3652@spin.co
[2025-12-03 17:02:44] Grupo grupo_test_gws_m3652@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:44] Procesando grupo 534/    1000: habilitacinadf-contenido@spin.co
[2025-12-03 17:02:45] Grupo habilitacinadf-contenido@spin.co: Vacío
[2025-12-03 17:02:45] Procesando grupo 535/    1000: growthbizdev@spin.co
[2025-12-03 17:02:46] Grupo growthbizdev@spin.co:        7 usuarios encontrados
[2025-12-03 17:02:46] Procesando grupo 536/    1000: gotomarket@spin.co
[2025-12-03 17:02:47] Grupo gotomarket@spin.co:        7 usuarios encontrados
[2025-12-03 17:02:47] Procesando grupo 537/    1000: gestinderiesgossi@spin.co
[2025-12-03 17:02:48] Grupo gestinderiesgossi@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:48] Procesando grupo 538/    1000: gestinpayments@spin.co
[2025-12-03 17:02:50] Grupo gestinpayments@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:50] Procesando grupo 539/    1000: gestiondf@spin.co
[2025-12-03 17:02:51] Grupo gestiondf@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:51] Procesando grupo 540/    1000: fullmarketaccess@spin.co
[2025-12-03 17:02:52] Grupo fullmarketaccess@spin.co:       51 usuarios encontrados
[2025-12-03 17:02:52] Procesando grupo 541/    1000: genesystest@spin.co
[2025-12-03 17:02:53] Grupo genesystest@spin.co:        4 usuarios encontrados
[2025-12-03 17:02:53] Procesando grupo 542/    1000: foreignsuploadtoec@spin.co
[2025-12-03 17:02:54] Grupo foreignsuploadtoec@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:54] Procesando grupo 543/    1000: frameworkqadraft@spin.co
[2025-12-03 17:02:55] Grupo frameworkqadraft@spin.co:        1 usuarios encontrados
[2025-12-03 17:02:55] Procesando grupo 544/    1000: formatodecontratoslegalspinpremia@spin.co
[2025-12-03 17:02:56] Grupo formatodecontratoslegalspinpremia@spin.co:        2 usuarios encontrados
[2025-12-03 17:02:56] Procesando grupo 545/    1000: flavors@spin.co
[2025-12-03 17:02:58] Grupo flavors@spin.co:        9 usuarios encontrados
[2025-12-03 17:02:58] Procesando grupo 546/    1000: fiscaldigitalfemsa@spin.co
[2025-12-03 17:02:59] Grupo fiscaldigitalfemsa@spin.co:        3 usuarios encontrados
[2025-12-03 17:02:59] Procesando grupo 547/    1000: firmasdecontratos@spin.co
[2025-12-03 17:03:00] Grupo firmasdecontratos@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:00] Procesando grupo 548/    1000: fiscaldigitalfemsacom@spin.co
[2025-12-03 17:03:01] Grupo fiscaldigitalfemsacom@spin.co:        5 usuarios encontrados
[2025-12-03 17:03:01] Procesando grupo 549/    1000: flash@spin.co
[2025-12-03 17:03:02] Grupo flash@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:02] Procesando grupo 550/    1000: finops@spin.co
[2025-12-03 17:03:03] Grupo finops@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:03] Procesando grupo 551/    1000: finanzaspayments@spin.co
[2025-12-03 17:03:04] Grupo finanzaspayments@spin.co:        4 usuarios encontrados
[2025-12-03 17:03:04] Procesando grupo 552/    1000: financespprojects@spin.co
[2025-12-03 17:03:06] Grupo financespprojects@spin.co:        4 usuarios encontrados
[2025-12-03 17:03:06] Procesando grupo 553/    1000: finanzasb2b@spin.co
[2025-12-03 17:03:07] Grupo finanzasb2b@spin.co:       56 usuarios encontrados
[2025-12-03 17:03:07] Procesando grupo 554/    1000: financespin@spin.co
[2025-12-03 17:03:08] Grupo financespin@spin.co:        3 usuarios encontrados
[2025-12-03 17:03:08] Procesando grupo 555/    1000: financeb2c13@spin.co
[2025-12-03 17:03:09] Grupo financeb2c13@spin.co:        8 usuarios encontrados
[2025-12-03 17:03:09] Procesando grupo 556/    1000: filescapacitacion@spin.co
[2025-12-03 17:03:10] Grupo filescapacitacion@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:10] Procesando grupo 557/    1000: financeb2c@spin.co
[2025-12-03 17:03:11] Grupo financeb2c@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:11] Procesando grupo 558/    1000: fieldservices@spin.co
[2025-12-03 17:03:13] Grupo fieldservices@spin.co:        6 usuarios encontrados
[2025-12-03 17:03:13] Procesando grupo 559/    1000: fieldservicedigital@spin.co
[2025-12-03 17:03:14] Grupo fieldservicedigital@spin.co:        5 usuarios encontrados
[2025-12-03 17:03:14] Procesando grupo 560/    1000: femsalendingfactory833@spin.co
[2025-12-03 17:03:15] Grupo femsalendingfactory833@spin.co:       11 usuarios encontrados
[2025-12-03 17:03:15] Procesando grupo 561/    1000: femsamit@spin.co
[2025-12-03 17:03:16] Grupo femsamit@spin.co: Vacío
[2025-12-03 17:03:16] Procesando grupo 562/    1000: femsa-mit@spin.co
[2025-12-03 17:03:17] Grupo femsa-mit@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:17] Procesando grupo 563/    1000: facturacionproveedores2023@spin.co
[2025-12-03 17:03:18] Grupo facturacionproveedores2023@spin.co: Vacío
[2025-12-03 17:03:18] Procesando grupo 564/    1000: facturacinproveedores2023@spin.co
[2025-12-03 17:03:20] Grupo facturacinproveedores2023@spin.co: Vacío
[2025-12-03 17:03:20] Procesando grupo 565/    1000: experimentsb2c@spin.co
[2025-12-03 17:03:21] Grupo experimentsb2c@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:21] Procesando grupo 566/    1000: fpatransversal@spin.co
[2025-12-03 17:03:22] Grupo fpatransversal@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:22] Procesando grupo 567/    1000: experimentosapizaco@spin.co
[2025-12-03 17:03:23] Grupo experimentosapizaco@spin.co: Vacío
[2025-12-03 17:03:23] Procesando grupo 568/    1000: experimentacinb2b@spin.co
[2025-12-03 17:03:24] Grupo experimentacinb2b@spin.co:        3 usuarios encontrados
[2025-12-03 17:03:24] Procesando grupo 569/    1000: evidenciaskri2025@spin.co
[2025-12-03 17:03:25] Grupo evidenciaskri2025@spin.co:        4 usuarios encontrados
[2025-12-03 17:03:25] Procesando grupo 570/    1000: experienciadataroles@spin.co
[2025-12-03 17:03:27] Grupo experienciadataroles@spin.co: Vacío
[2025-12-03 17:03:27] Procesando grupo 571/    1000: executiveassistant@spin.co
[2025-12-03 17:03:28] Grupo executiveassistant@spin.co:        5 usuarios encontrados
[2025-12-03 17:03:28] Procesando grupo 572/    1000: evidenciasdespei@spin.co
[2025-12-03 17:03:29] Grupo evidenciasdespei@spin.co:        5 usuarios encontrados
[2025-12-03 17:03:29] Procesando grupo 573/    1000: etapa01_crdito@spin.co
[2025-12-03 17:03:30] Grupo etapa01_crdito@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:30] Procesando grupo 574/    1000: estrategiacomercial-informacin@spin.co
[2025-12-03 17:03:31] Grupo estrategiacomercial-informacin@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:31] Procesando grupo 575/    1000: estrategiadf@spin.co
[2025-12-03 17:03:33] Grupo estrategiadf@spin.co:       17 usuarios encontrados
[2025-12-03 17:03:33] Procesando grupo 576/    1000: estatus-altasaproveedor@spin.co
[2025-12-03 17:03:34] Grupo estatus-altasaproveedor@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:34] Procesando grupo 577/    1000: equiposestrategiadigitaloxxo-tw@spin.co
[2025-12-03 17:03:35] Grupo equiposestrategiadigitaloxxo-tw@spin.co:       16 usuarios encontrados
[2025-12-03 17:03:35] Procesando grupo 578/    1000: equipoproductolending@spin.co
[2025-12-03 17:03:36] Grupo equipoproductolending@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:36] Procesando grupo 579/    1000: equipon2@spin.co
[2025-12-03 17:03:37] Grupo equipon2@spin.co:        7 usuarios encontrados
[2025-12-03 17:03:37] Procesando grupo 580/    1000: equipodesarrollo@spin.co
[2025-12-03 17:03:38] Grupo equipodesarrollo@spin.co:        8 usuarios encontrados
[2025-12-03 17:03:38] Procesando grupo 581/    1000: epam@spin.co
[2025-12-03 17:03:40] Grupo epam@spin.co:        8 usuarios encontrados
[2025-12-03 17:03:40] Procesando grupo 582/    1000: equipocomercialtienditasyfonditas@spin.co
[2025-12-03 17:03:41] Grupo equipocomercialtienditasyfonditas@spin.co:       14 usuarios encontrados
[2025-12-03 17:03:41] Procesando grupo 583/    1000: engineering@spin.co
[2025-12-03 17:03:42] Grupo engineering@spin.co:       18 usuarios encontrados
[2025-12-03 17:03:42] Procesando grupo 584/    1000: embajadorspinpremia@spin.co
[2025-12-03 17:03:43] Grupo embajadorspinpremia@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:43] Procesando grupo 585/    1000: encuestasnps@spin.co
[2025-12-03 17:03:44] Grupo encuestasnps@spin.co:        5 usuarios encontrados
[2025-12-03 17:03:44] Procesando grupo 586/    1000: email_users_gws@spin.co
[2025-12-03 17:03:45] Grupo email_users_gws@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:45] Procesando grupo 587/    1000: elgrupodelabuenaonda@spin.co
[2025-12-03 17:03:46] Grupo elgrupodelabuenaonda@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:46] Procesando grupo 588/    1000: eightfold@spin.co
[2025-12-03 17:03:48] Grupo eightfold@spin.co:        6 usuarios encontrados
[2025-12-03 17:03:48] Procesando grupo 589/    1000: efectividadorganizacional@spin.co
[2025-12-03 17:03:49] Grupo efectividadorganizacional@spin.co:        8 usuarios encontrados
[2025-12-03 17:03:49] Procesando grupo 590/    1000: ecosistemaspin-branding@spin.co
[2025-12-03 17:03:50] Grupo ecosistemaspin-branding@spin.co:       14 usuarios encontrados
[2025-12-03 17:03:50] Procesando grupo 591/    1000: ecosistemaequiposdecapa@spin.co
[2025-12-03 17:03:51] Grupo ecosistemaequiposdecapa@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:51] Procesando grupo 592/    1000: ecosistemadigital@spin.co
[2025-12-03 17:03:52] Grupo ecosistemadigital@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:52] Procesando grupo 593/    1000: dynamics@spin.co
[2025-12-03 17:03:53] Grupo dynamics@spin.co:        3 usuarios encontrados
[2025-12-03 17:03:53] Procesando grupo 594/    1000: ecosistemadecapa@spin.co
[2025-12-03 17:03:54] Grupo ecosistemadecapa@spin.co:        4 usuarios encontrados
[2025-12-03 17:03:54] Procesando grupo 595/    1000: duediligencenetpay@spin.co
[2025-12-03 17:03:56] Grupo duediligencenetpay@spin.co:        4 usuarios encontrados
[2025-12-03 17:03:56] Procesando grupo 596/    1000: dtd@spin.co
[2025-12-03 17:03:57] Grupo dtd@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:57] Procesando grupo 597/    1000: dudasnetpay@spin.co
[2025-12-03 17:03:58] Grupo dudasnetpay@spin.co:        1 usuarios encontrados
[2025-12-03 17:03:58] Procesando grupo 598/    1000: documentosivalua@spin.co
[2025-12-03 17:03:59] Grupo documentosivalua@spin.co:        2 usuarios encontrados
[2025-12-03 17:03:59] Procesando grupo 599/    1000: documentosbaby@spin.co
[2025-12-03 17:04:00] Grupo documentosbaby@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:00] Procesando grupo 600/    1000: documentacinspei@spin.co
[2025-12-03 17:04:01] Grupo documentacinspei@spin.co:        9 usuarios encontrados
[2025-12-03 17:04:01] Procesando grupo 601/    1000: documentacincorporativaproveedores_coalicin@spin.co
[2025-12-03 17:04:02] Grupo documentacincorporativaproveedores_coalicin@spin.co:        9 usuarios encontrados
[2025-12-03 17:04:02] Procesando grupo 602/    1000: documentacionfiservsbo@spin.co
[2025-12-03 17:04:04] Grupo documentacionfiservsbo@spin.co:       27 usuarios encontrados
[2025-12-03 17:04:04] Procesando grupo 603/    1000: documentacinalexjimenez@spin.co
[2025-12-03 17:04:05] Grupo documentacinalexjimenez@spin.co:        2 usuarios encontrados
[2025-12-03 17:04:05] Procesando grupo 604/    1000: documentacincorporativadigital@spin.co
[2025-12-03 17:04:06] Grupo documentacincorporativadigital@spin.co:        9 usuarios encontrados
[2025-12-03 17:04:06] Procesando grupo 605/    1000: diseokitstar@spin.co
[2025-12-03 17:04:07] Grupo diseokitstar@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:07] Procesando grupo 606/    1000: direccinpayments@spin.co
[2025-12-03 17:04:08] Grupo direccinpayments@spin.co:        8 usuarios encontrados
[2025-12-03 17:04:08] Procesando grupo 607/    1000: digitalfemsa-dicofra@spin.co
[2025-12-03 17:04:09] Grupo digitalfemsa-dicofra@spin.co:        5 usuarios encontrados
[2025-12-03 17:04:09] Procesando grupo 608/    1000: digital_mfa_sms@spin.co
[2025-12-03 17:04:11] Grupo digital_mfa_sms@spin.co:      199 usuarios encontrados
[2025-12-03 17:04:11] Procesando grupo 609/    1000: digital_mfa_app@spin.co
[2025-12-03 17:04:12] Grupo digital_mfa_app@spin.co:       90 usuarios encontrados
[2025-12-03 17:04:12] Procesando grupo 610/    1000: digital_intune_windows10@spin.co
[2025-12-03 17:04:13] Grupo digital_intune_windows10@spin.co:      117 usuarios encontrados
[2025-12-03 17:04:13] Procesando grupo 611/    1000: digital_intune_macos@spin.co
[2025-12-03 17:04:14] Grupo digital_intune_macos@spin.co:       15 usuarios encontrados
[2025-12-03 17:04:14] Procesando grupo 612/    1000: digital_intune_ios@spin.co
[2025-12-03 17:04:15] Grupo digital_intune_ios@spin.co:        4 usuarios encontrados
[2025-12-03 17:04:15] Procesando grupo 613/    1000: digital_admins@spin.co
[2025-12-03 17:04:16] Grupo digital_admins@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:16] Procesando grupo 614/    1000: digitalretailmediadunnhumby@spin.co
[2025-12-03 17:04:18] Grupo digitalretailmediadunnhumby@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:18] Procesando grupo 615/    1000: digitalrepse@spin.co
[2025-12-03 17:04:19] Grupo digitalrepse@spin.co:        2 usuarios encontrados
[2025-12-03 17:04:19] Procesando grupo 616/    1000: digitalorgcomplabor@spin.co
[2025-12-03 17:04:20] Grupo digitalorgcomplabor@spin.co:        2 usuarios encontrados
[2025-12-03 17:04:20] Procesando grupo 617/    1000: digitalhousenew@spin.co
[2025-12-03 17:04:21] Grupo digitalhousenew@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:21] Procesando grupo 618/    1000: digitalhousevendors@spin.co
[2025-12-03 17:04:22] Grupo digitalhousevendors@spin.co:        6 usuarios encontrados
[2025-12-03 17:04:22] Procesando grupo 619/    1000: digitalfile@spin.co
[2025-12-03 17:04:23] Grupo digitalfile@spin.co:        4 usuarios encontrados
[2025-12-03 17:04:23] Procesando grupo 620/    1000: squadb2c-kam@spin.co
[2025-12-03 17:04:24] Grupo squadb2c-kam@spin.co:        4 usuarios encontrados
[2025-12-03 17:04:24] Procesando grupo 621/    1000: digitaldatateamspinbyoxxo@spin.co
[2025-12-03 17:04:26] Grupo digitaldatateamspinbyoxxo@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:26] Procesando grupo 622/    1000: digital-oxxoclub_jafher@spin.co
[2025-12-03 17:04:27] Grupo digital-oxxoclub_jafher@spin.co:        5 usuarios encontrados
[2025-12-03 17:04:27] Procesando grupo 623/    1000: digitaldatateam@spin.co
[2025-12-03 17:04:28] Grupo digitaldatateam@spin.co:       10 usuarios encontrados
[2025-12-03 17:04:28] Procesando grupo 624/    1000: dhteamcollaboration@spin.co
[2025-12-03 17:04:29] Grupo dhteamcollaboration@spin.co:        4 usuarios encontrados
[2025-12-03 17:04:29] Procesando grupo 625/    1000: dhoperationsvendormanagement@spin.co
[2025-12-03 17:04:30] Grupo dhoperationsvendormanagement@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:30] Procesando grupo 626/    1000: dh-metrics2024@spin.co
[2025-12-03 17:04:31] Grupo dh-metrics2024@spin.co:       20 usuarios encontrados
[2025-12-03 17:04:31] Procesando grupo 627/    1000: dev-spinnegocios@spin.co
[2025-12-03 17:04:33] Grupo dev-spinnegocios@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:33] Procesando grupo 628/    1000: devsvalorentienda@spin.co
[2025-12-03 17:04:35] Grupo devsvalorentienda@spin.co:        9 usuarios encontrados
[2025-12-03 17:04:35] Procesando grupo 629/    1000: designsystem@spin.co
[2025-12-03 17:04:36] Grupo designsystem@spin.co:        7 usuarios encontrados
[2025-12-03 17:04:36] Procesando grupo 630/    1000: devspinnegocios@spin.co
[2025-12-03 17:04:37] Grupo devspinnegocios@spin.co:        6 usuarios encontrados
[2025-12-03 17:04:37] Procesando grupo 631/    1000: designresearchteam@spin.co
[2025-12-03 17:04:38] Grupo designresearchteam@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:38] Procesando grupo 632/    1000: deliveryspinteam@spin.co
[2025-12-03 17:04:39] Grupo deliveryspinteam@spin.co:        6 usuarios encontrados
[2025-12-03 17:04:39] Procesando grupo 633/    1000: delivery-ux@spin.co
[2025-12-03 17:04:41] Grupo delivery-ux@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:41] Procesando grupo 634/    1000: delivery@spin.co
[2025-12-03 17:04:42] Grupo delivery@spin.co: Vacío
[2025-12-03 17:04:42] Procesando grupo 635/    1000: deepdivesamys@spin.co
[2025-12-03 17:04:43] Grupo deepdivesamys@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:43] Procesando grupo 636/    1000: datospersonalesactualizacindedatos@spin.co
[2025-12-03 17:04:44] Grupo datospersonalesactualizacindedatos@spin.co:        6 usuarios encontrados
[2025-12-03 17:04:44] Procesando grupo 637/    1000: databricksmigrationteam@spin.co
[2025-12-03 17:04:45] Grupo databricksmigrationteam@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:45] Procesando grupo 638/    1000: datatest@spin.co
[2025-12-03 17:04:46] Grupo datatest@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:46] Procesando grupo 639/    1000: datastrategy@spin.co
[2025-12-03 17:04:47] Grupo datastrategy@spin.co:        2 usuarios encontrados
[2025-12-03 17:04:47] Procesando grupo 640/    1000: datasharepoint@spin.co
[2025-12-03 17:04:48] Grupo datasharepoint@spin.co:        8 usuarios encontrados
[2025-12-03 17:04:48] Procesando grupo 641/    1000: datasciencecompartido@spin.co
[2025-12-03 17:04:50] Grupo datasciencecompartido@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:50] Procesando grupo 642/    1000: dataproccessing@spin.co
[2025-12-03 17:04:51] Grupo dataproccessing@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:51] Procesando grupo 643/    1000: dataprivacy@spin.co
[2025-12-03 17:04:52] Grupo dataprivacy@spin.co:        3 usuarios encontrados
[2025-12-03 17:04:52] Procesando grupo 644/    1000: datapocbotnpremia@spin.co
[2025-12-03 17:04:53] Grupo datapocbotnpremia@spin.co:        8 usuarios encontrados
[2025-12-03 17:04:53] Procesando grupo 645/    1000: dataoperativa@spin.co
[2025-12-03 17:04:54] Grupo dataoperativa@spin.co:        7 usuarios encontrados
[2025-12-03 17:04:54] Procesando grupo 646/    1000: datamodeling@spin.co
[2025-12-03 17:04:55] Grupo datamodeling@spin.co:        2 usuarios encontrados
[2025-12-03 17:04:55] Procesando grupo 647/    1000: datamdeling@spin.co
[2025-12-03 17:04:57] Grupo datamdeling@spin.co:        1 usuarios encontrados
[2025-12-03 17:04:57] Procesando grupo 648/    1000: dataleads@spin.co
[2025-12-03 17:04:58] Grupo dataleads@spin.co:        4 usuarios encontrados
[2025-12-03 17:04:58] Procesando grupo 649/    1000: datainstitutional@spin.co
[2025-12-03 17:04:59] Grupo datainstitutional@spin.co:        6 usuarios encontrados
[2025-12-03 17:04:59] Procesando grupo 650/    1000: datadelivery@spin.co
[2025-12-03 17:05:00] Grupo datadelivery@spin.co: Vacío
[2025-12-03 17:05:00] Procesando grupo 651/    1000: squad-user-knowledge@spin.co
[2025-12-03 17:05:01] Grupo squad-user-knowledge@spin.co:        2 usuarios encontrados
[2025-12-03 17:05:01] Procesando grupo 652/    1000: dataarchitecture@spin.co
[2025-12-03 17:05:03] Grupo dataarchitecture@spin.co:        5 usuarios encontrados
[2025-12-03 17:05:03] Procesando grupo 653/    1000: data-spinpremia@spin.co
[2025-12-03 17:05:04] Grupo data-spinpremia@spin.co:        5 usuarios encontrados
[2025-12-03 17:05:04] Procesando grupo 654/    1000: data-product-iniciativa-tarjetas@spin.co
[2025-12-03 17:05:05] Grupo data-product-iniciativa-tarjetas@spin.co:        1 usuarios encontrados
[2025-12-03 17:05:05] Procesando grupo 655/    1000: data-bionboardingmaterials@spin.co
[2025-12-03 17:05:06] Grupo data-bionboardingmaterials@spin.co:        2 usuarios encontrados
[2025-12-03 17:05:06] Procesando grupo 656/    1000: data@spin.co
[2025-12-03 17:05:07] Grupo data@spin.co:        1 usuarios encontrados
[2025-12-03 17:05:07] Procesando grupo 657/    1000: dashboardsbf@spin.co
[2025-12-03 17:05:09] Grupo dashboardsbf@spin.co:        5 usuarios encontrados
[2025-12-03 17:05:09] Procesando grupo 658/    1000: spin_premia_darwin@spin.co
[2025-12-03 17:05:10] Grupo spin_premia_darwin@spin.co:        2 usuarios encontrados
[2025-12-03 17:05:10] Procesando grupo 659/    1000: daspinpremia@spin.co
